Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2017-10-31,0.0012857397299896878,0.00032148777390306194,0.0,1.0,0.0,0.0,2017-10-31,both,True,False,1.0,0.0012857397299896878,False,True,0.0,0.0,False,True,0.0,0.0,0.0012857397299896878,0.0017889460313664785,1.3422984957812045,0.8533668052486688
2017-11-01,0.002396748242503799,0.004452506952582036,0.0,1.0,0.0,0.0,2017-11-01,both,True,False,1.0,0.002396748242503799,False,True,0.0,0.0,False,True,0.0,0.0,0.002396748242503799,0.004166840003013261,1.3455156473418837,0.8569226481900226
2017-11-02,0.003287986567612533,0.004409045145099988,0.0,1.0,0.0,0.0,2017-11-02,both,True,False,1.0,0.003287986567612533,False,True,0.0,0.0,False,True,0.0,0.0,0.003287986567612533,0.006065677283784154,1.3499396847168563,0.862120464431109
2017-11-03,0.0009362474921819075,0.00271326836379826,0.0,1.0,0.0,0.0,2017-11-03,both,True,False,1.0,0.0009362474921819075,False,True,0.0,0.0,False,True,0.0,0.0,0.0009362474921819075,0.0010420880623527307,1.3512035623612693,0.8630188698754027
2017-11-06,0.0009782395120960796,0.003741002221782308,0.0,1.0,0.0,0.0,2017-11-06,both,True,False,1.0,0.0009782395120960796,False,True,0.0,0.0,False,True,0.0,0.0,0.0009782395120960796,0.0011323159448231035,1.352525363074856,0.8639960799024458
2017-11-07,4.234390230251073e-05,0.004202564634071981,0.0,1.0,0.0,0.0,2017-11-07,both,True,False,1.0,4.234390230251073e-05,False,True,0.0,0.0,False,True,0.0,0.0,4.234390230251073e-05,-0.0008601749317094232,1.3525826342766916,0.8632528921334185
2017-11-08,0.00016985038019767806,-0.002210915495580057,0.0,1.0,0.0,0.0,2017-11-08,both,True,False,1.0,0.00016985038019767806,False,True,0.0,-0.0,False,True,0.0,0.0,0.00016985038019767806,-0.0005891063464741331,1.3528123709513722,0.8627443443760505
2017-11-09,-0.003142696555348601,-0.0028488675537519104,0.0,1.0,0.0,0.0,2017-11-09,both,True,False,1.0,-0.003142696555348601,False,True,0.0,-0.0,False,True,0.0,0.0,-0.003142696555348601,-0.0076561040868921015,1.3485608921731504,0.85613908387513
2017-11-10,-0.0012356573391134607,-0.01507954679210921,0.0,1.0,0.0,0.0,2017-11-10,both,True,False,1.0,-0.0012356573391134607,False,True,0.0,-0.0,False,True,0.0,0.0,-0.0012356573391134607,-0.0036071174574416887,1.3468945330094952,0.8530508896396859
2017-11-13,0.0009810925692990136,0.002095185417488432,0.0,1.0,0.0,0.0,2017-11-13,both,True,False,1.0,0.0009810925692990136,False,True,0.0,0.0,False,True,0.0,0.0,0.0009810925692990136,0.0011449530819589437,1.3482159612274602,0.8540275928848466
