,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
391,25,3W-FRI-100%,2,2,2,0,0,0.103855271,0.0723,0.410642136,0.260568103,0.28674
404,25,3W-FRI-100%,3,3,3,0,0,0.103855271,0.0723,0.410642136,0.260568103,0.29058
72,10,3W-FRI-100%,3,1,1,0,0,0.111405342,0.0761,0.40912219,0.290680834,0.30736
77,10,3W-FRI-100%,3,2,3,0,0,0.107899283,0.0744,0.403772958,0.289167992,0.19618
380,25,3W-FRI-100%,1,1,3,0,0,0.098572022,0.0695,0.401152318,0.258958537,0.24414
117,15,1W-FRI-100%,2,1,1,0,0,0.1055175,0.0732,0.400972236,0.28487681,0.38674
425,25,4W-FRI-100%,3,1,3,0,0,0.100845005,0.0707,0.400786445,0.268778756,0.596
37,10,2W-FRI-100%,2,1,2,0,0,0.10273236,0.0717,0.400322365,0.275406423,0.34768
73,10,3W-FRI-100%,3,1,2,0,0,0.105572856,0.0732,0.399298063,0.290447567,0.29564
50,10,2W-FRI-100%,3,2,3,0,0,0.100728298,0.0707,0.396957815,0.2746624,0.22702
116,15,1W-FRI-100%,1,3,3,0,0,0.098779603,0.0696,0.395840479,0.270438118,0.35114
320,20,4W-FRI-100%,3,2,3,0,0,0.098422864,0.0694,0.394068712,0.272387925,0.57136
423,25,4W-FRI-100%,3,1,1,0,0,0.096082854,0.0682,0.391926195,0.268066497,0.56832
424,25,4W-FRI-100%,3,1,2,0,0,0.096082854,0.0682,0.391926195,0.268066497,0.56798
318,20,4W-FRI-100%,3,2,1,0,0,0.095923039,0.0681,0.389364425,0.272188376,0.5687
319,20,4W-FRI-100%,3,2,2,0,0,0.095923039,0.0681,0.389364425,0.272188376,0.56774
36,10,2W-FRI-100%,2,1,1,0,0,0.095589305,0.0679,0.387139184,0.274866561,0.30674
379,25,3W-FRI-100%,1,1,2,0,0,0.091673533,0.0658,0.386742559,0.259657732,0.2892
125,15,1W-FRI-100%,2,3,3,0,0,0.093975031,0.0671,0.386565784,0.270387683,0.38192
392,25,3W-FRI-100%,2,2,3,0,0,0.089816811,0.0648,0.38267619,0.260101304,0.2928
32,10,2W-FRI-100%,1,2,3,0,0,0.08937398,0.0645,0.381643187,0.260570549,0.40392
64,10,3W-FRI-100%,2,1,2,0,0,0.093324474,0.0667,0.377793559,0.289480572,0.24284
63,10,3W-FRI-100%,2,1,1,0,0,0.091273889,0.0656,0.373813251,0.290131338,0.27874
31,10,2W-FRI-100%,1,2,2,0,0,0.085400225,0.0623,0.373346616,0.260408548,0.4033
75,10,3W-FRI-100%,3,2,1,0,0,0.088650416,0.0641,0.372920837,0.277759038,0.25322
30,10,2W-FRI-100%,1,2,1,0,0,0.082051167,0.0604,0.366291895,0.260056434,0.41636
76,10,3W-FRI-100%,3,2,2,0,0,0.083907099,0.0615,0.363571918,0.277513257,0.2413
74,10,3W-FRI-100%,3,1,3,0,0,0.084912818,0.062,0.362450844,0.288147886,0.28642
181,15,3W-FRI-100%,3,1,2,0,0,0.084398612,0.0617,0.360817491,0.291051942,0.30456
182,15,3W-FRI-100%,3,1,3,0,0,0.084398612,0.0617,0.360817491,0.291051942,0.30396
66,10,3W-FRI-100%,2,2,1,0,0,0.082414234,0.0606,0.360649607,0.277005862,0.30406
78,10,3W-FRI-100%,3,3,1,0,0,0.082414234,0.0606,0.360649607,0.277005862,0.30668
79,10,3W-FRI-100%,3,3,2,0,0,0.082414234,0.0606,0.360649607,0.277005862,0.30164
390,25,3W-FRI-100%,2,2,1,0,0,0.079172009,0.0587,0.358782492,0.263021231,0.29924
402,25,3W-FRI-100%,3,3,1,0,0,0.079172009,0.0587,0.358782492,0.263021231,0.30098
403,25,3W-FRI-100%,3,3,2,0,0,0.079172009,0.0587,0.358782492,0.263021231,0.30092
124,15,1W-FRI-100%,2,3,2,0,0,0.079620818,0.059,0.357515382,0.269796885,0.37182
54,10,3W-FRI-100%,1,1,1,0,0,0.077825376,0.058,0.351265376,0.27675927,0.29184
67,10,3W-FRI-100%,2,2,2,0,0,0.077825376,0.058,0.351265376,0.27675927,0.29108
80,10,3W-FRI-100%,3,3,3,0,0,0.077825376,0.058,0.351265376,0.27675927,0.28974
65,10,3W-FRI-100%,2,1,3,0,0,0.079048521,0.0587,0.350703547,0.288703273,0.25244
49,10,2W-FRI-100%,3,2,2,0,0,0.076088704,0.0569,0.350674445,0.265683917,0.3471
123,15,1W-FRI-100%,2,3,1,0,0,0.075933172,0.0568,0.349638454,0.269712511,0.37648
